Age,Social_Media_Mentions,Ratings,Past_Clicks,Budget_Scale,Critical_Acclaim,Marketing_Reach,User_Engagement,Movie_Age,Gender_Male,Watch_Frequency_Monthly,Watch_Frequency_Weekly,Genre_Preference_Comedy,Genre_Preference_Drama,Genre_Preference_Horror
61.0,67.0,4.0,13.0,2.0,1.0,1.0,84.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
55.0,213.0,1.0,9.0,4.0,1.0,3.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
43.0,217.0,2.0,6.0,2.0,2.0,1.0,96.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
28.0,176.0,3.0,16.0,1.0,2.0,2.0,26.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0
52.0,298.0,2.0,5.0,2.0,4.0,3.0,70.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0
25.0,163.0,5.0,3.0,1.0,3.0,4.0,58.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
63.0,57.0,5.0,16.0,2.0,1.0,2.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,268.0,5.0,8.0,2.0,1.0,2.0,51.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0
27.0,307.0,1.0,3.0,4.0,1.0,3.0,5.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0
19.0,55.0,4.0,6.0,2.0,4.0,2.0,77.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
63.0,287.0,2.0,1.0,4.0,1.0,2.0,32.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
26.0,464.0,2.0,16.0,4.0,3.0,2.0,80.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
20.0,104.0,2.0,7.0,3.0,2.0,2.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
38.0,55.0,2.0,14.0,3.0,4.0,2.0,77.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
43.0,246.0,5.0,14.0,1.0,2.0,2.0,54.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0
25.0,187.0,2.0,7.0,2.0,1.0,2.0,11.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
19.0,493.0,4.0,15.0,1.0,1.0,2.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
23.0,82.0,5.0,18.0,2.0,1.0,4.0,8.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0
45.0,55.0,2.0,10.0,3.0,3.0,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,251.0,1.0,1.0,3.0,3.0,4.0,40.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0
43.0,354.0,3.0,16.0,2.0,4.0,4.0,32.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0
42.0,237.0,3.0,15.0,2.0,2.0,1.0,88.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
29.0,359.0,3.0,14.0,3.0,1.0,1.0,28.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,183.0,5.0,12.0,3.0,1.0,4.0,78.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
51.0,283.0,2.0,14.0,1.0,1.0,4.0,3.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0
54.0,384.0,5.0,3.0,3.0,1.0,2.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,425.0,4.0,15.0,2.0,3.0,1.0,84.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0
61.0,55.0,1.0,11.0,1.0,2.0,3.0,79.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
53.0,303.0,1.0,3.0,2.0,2.0,1.0,62.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0
32.0,295.0,10.0,2.0,4.0,4.0,4.0,27.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
60.0,96.0,3.0,16.0,1.0,3.0,4.0,45.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
40.0,446.0,3.0,17.0,2.0,1.0,2.0,92.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
23.0,55.0,2.0,17.0,3.0,2.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
63.0,455.0,4.0,16.0,4.0,2.0,1.0,61.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0
61.0,55.0,4.0,11.0,2.0,3.0,2.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,55.0,4.0,3.0,1.0,4.0,3.0,97.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0
62.0,369.0,4.0,11.0,2.0,4.0,3.0,46.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0
38.0,55.0,3.0,19.0,4.0,1.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,421.0,1.0,14.0,1.0,4.0,3.0,8.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0
60.0,491.0,3.0,15.0,4.0,2.0,3.0,48.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0
33.0,410.0,4.0,4.0,2.0,4.0,1.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
64.0,136.0,3.0,14.0,3.0,1.0,3.0,65.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0
32.0,366.0,4.0,16.0,3.0,2.0,4.0,80.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
42.0,55.0,5.0,17.0,2.0,4.0,4.0,82.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
53.0,55.0,1.0,4.0,2.0,4.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
28.0,75.0,5.0,12.0,2.0,3.0,2.0,79.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
32.0,286.0,2.0,18.0,1.0,1.0,1.0,88.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0
21.0,55.0,3.0,12.0,4.0,4.0,2.0,49.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
38.0,374.0,2.0,17.0,4.0,3.0,2.0,55.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0
30.0,55.0,3.0,13.0,4.0,2.0,2.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,55.0,5.0,3.0,2.0,3.0,2.0,73.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
36.0,55.0,4.0,3.0,4.0,3.0,2.0,56.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,289.0,4.0,19.0,2.0,4.0,1.0,56.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0
31.0,66.0,3.0,19.0,1.0,4.0,2.0,15.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,55.0,4.0,18.0,3.0,4.0,3.0,57.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0
63.0,55.0,5.0,12.0,2.0,3.0,3.0,58.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0
44.0,117.0,4.0,11.0,2.0,2.0,2.0,35.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0
46.0,489.0,5.0,6.0,3.0,1.0,3.0,88.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
64.0,72.0,2.0,11.0,3.0,3.0,4.0,97.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0
45.0,281.0,5.0,3.0,1.0,4.0,1.0,16.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0
52.0,55.0,1.0,1.0,4.0,1.0,1.0,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,447.0,1.0,1.0,2.0,2.0,2.0,93.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,359.0,10.0,4.0,4.0,1.0,2.0,87.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0
59.0,9.0,3.0,9.0,2.0,4.0,4.0,45.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0
53.0,210.0,3.0,9.0,1.0,3.0,2.0,95.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0
47.0,322.0,3.0,8.0,3.0,3.0,3.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,55.0,5.0,12.0,1.0,4.0,4.0,54.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0
19.0,4.0,3.0,6.0,3.0,3.0,3.0,14.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0
30.0,194.0,2.0,4.0,4.0,4.0,1.0,59.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0
21.0,441.0,1.0,9.0,4.0,3.0,3.0,94.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
43.0,282.0,5.0,9.0,1.0,3.0,1.0,53.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0
42.0,463.0,1.0,5.0,3.0,3.0,3.0,27.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0
47.0,112.0,3.0,18.0,1.0,2.0,1.0,47.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0
28.0,270.0,5.0,7.0,3.0,2.0,2.0,80.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,162.0,4.0,0.0,3.0,4.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0
48.0,459.0,2.0,16.0,4.0,2.0,1.0,55.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
61.0,104.0,3.0,6.0,4.0,4.0,3.0,97.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0
27.0,180.0,3.0,13.0,3.0,1.0,4.0,44.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,43.0,2.0,16.0,3.0,1.0,2.0,18.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0
30.0,281.0,2.0,8.0,3.0,2.0,1.0,16.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0
48.0,174.0,4.0,16.0,4.0,1.0,4.0,12.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0
24.0,161.0,3.0,4.0,4.0,1.0,3.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
59.0,470.0,3.0,19.0,2.0,3.0,4.0,45.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0
59.0,350.0,1.0,7.0,3.0,3.0,3.0,64.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
53.0,55.0,5.0,5.0,2.0,4.0,2.0,59.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
37.0,55.0,5.0,10.0,3.0,1.0,4.0,93.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0
21.0,139.0,1.0,18.0,4.0,4.0,2.0,94.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
24.0,470.0,5.0,3.0,2.0,4.0,1.0,90.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
18.0,131.0,2.0,17.0,2.0,1.0,3.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,86.0,5.0,0.0,1.0,2.0,3.0,97.0,14.0,1.0,0.0,1.0,0.0,1.0,0.0
62.0,175.0,5.0,12.0,3.0,1.0,2.0,47.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0
59.0,182.0,1.0,13.0,4.0,3.0,2.0,29.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0
64.0,367.0,4.0,0.0,1.0,1.0,1.0,86.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
30.0,128.0,5.0,10.0,1.0,2.0,4.0,45.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,245.0,5.0,16.0,3.0,4.0,3.0,77.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0
38.0,88.0,4.0,3.0,1.0,4.0,3.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,65.0,1.0,11.0,3.0,3.0,1.0,24.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0
45.0,157.0,4.0,9.0,1.0,3.0,1.0,15.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
26.0,55.0,1.0,5.0,3.0,3.0,2.0,36.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
43.0,377.0,2.0,0.0,4.0,4.0,2.0,13.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0
26.0,55.0,1.0,6.0,3.0,3.0,4.0,91.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,55.0,2.0,15.0,3.0,1.0,1.0,44.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
27.0,339.0,2.0,13.0,2.0,4.0,4.0,71.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
41.0,432.0,1.0,19.0,4.0,2.0,1.0,72.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0
59.0,115.0,3.0,19.0,4.0,4.0,3.0,78.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,213.0,1.0,5.0,4.0,1.0,1.0,76.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0
41.0,468.0,5.0,4.0,1.0,1.0,1.0,36.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0
33.0,445.0,5.0,17.0,2.0,3.0,3.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,480.0,3.0,14.0,4.0,4.0,1.0,81.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
44.0,371.0,2.0,5.0,1.0,4.0,4.0,40.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
54.0,293.0,3.0,18.0,1.0,4.0,2.0,93.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
21.0,252.0,5.0,0.0,1.0,2.0,2.0,27.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,142.0,3.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,249.0,1.0,12.0,1.0,1.0,3.0,34.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0
53.0,365.0,3.0,2.0,2.0,1.0,1.0,68.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0
56.0,435.0,2.0,9.0,3.0,3.0,4.0,88.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,462.0,1.0,2.0,1.0,1.0,2.0,21.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
42.0,301.0,4.0,8.0,4.0,1.0,2.0,33.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0
35.0,24.0,5.0,7.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
36.0,55.0,5.0,2.0,3.0,1.0,2.0,65.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0
53.0,471.0,3.0,12.0,3.0,4.0,4.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0
27.0,376.0,1.0,5.0,1.0,2.0,2.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,55.0,4.0,12.0,3.0,3.0,4.0,79.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
22.0,55.0,1.0,19.0,2.0,2.0,1.0,95.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,69.0,5.0,19.0,2.0,1.0,1.0,54.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
52.0,112.0,1.0,11.0,1.0,1.0,1.0,80.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0
61.0,362.0,4.0,12.0,2.0,4.0,1.0,74.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0
51.0,111.0,3.0,1.0,2.0,3.0,2.0,93.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,363.0,2.0,15.0,4.0,1.0,3.0,59.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
38.0,302.0,1.0,5.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
34.0,470.0,2.0,18.0,3.0,3.0,3.0,29.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
39.0,451.0,5.0,12.0,1.0,3.0,2.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
54.0,55.0,3.0,16.0,2.0,3.0,2.0,60.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
32.0,17.0,3.0,8.0,4.0,3.0,3.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
52.0,148.0,1.0,16.0,1.0,2.0,3.0,24.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0
45.0,475.0,3.0,1.0,1.0,4.0,2.0,81.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0
24.0,226.0,1.0,18.0,2.0,3.0,2.0,85.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0
49.0,213.0,1.0,18.0,2.0,2.0,4.0,51.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,55.0,2.0,6.0,1.0,1.0,1.0,50.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,150.0,3.0,9.0,2.0,3.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,55.0,1.0,9.0,2.0,1.0,4.0,56.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
31.0,450.0,2.0,19.0,2.0,3.0,3.0,71.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,55.0,4.0,8.0,2.0,2.0,2.0,42.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
42.0,55.0,2.0,16.0,2.0,2.0,3.0,39.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0
19.0,137.0,2.0,14.0,4.0,2.0,1.0,69.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0
52.0,55.0,1.0,1.0,2.0,4.0,1.0,48.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,179.0,5.0,3.0,3.0,1.0,3.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
38.0,55.0,5.0,18.0,1.0,4.0,1.0,21.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0
35.0,55.0,5.0,16.0,4.0,3.0,2.0,82.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0
20.0,202.0,2.0,4.0,4.0,1.0,4.0,99.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0
59.0,60.0,1.0,6.0,2.0,2.0,3.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
56.0,191.0,3.0,17.0,1.0,1.0,2.0,15.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0
58.0,4.0,2.0,6.0,3.0,2.0,2.0,69.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0
28.0,377.0,2.0,16.0,2.0,4.0,1.0,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,236.0,1.0,6.0,1.0,4.0,2.0,51.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0
41.0,180.0,4.0,3.0,2.0,2.0,3.0,76.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
63.0,310.0,2.0,7.0,2.0,2.0,2.0,62.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
36.0,55.0,4.0,12.0,2.0,3.0,4.0,85.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,55.0,4.0,3.0,2.0,4.0,2.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,442.0,5.0,5.0,2.0,4.0,2.0,6.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0
55.0,236.0,1.0,4.0,2.0,3.0,4.0,71.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0
59.0,357.0,4.0,11.0,2.0,4.0,2.0,26.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0
49.0,348.0,1.0,3.0,3.0,2.0,2.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0
56.0,196.0,5.0,8.0,4.0,1.0,1.0,73.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
62.0,72.0,1.0,3.0,3.0,1.0,3.0,91.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0
63.0,55.0,2.0,18.0,2.0,4.0,1.0,4.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0
53.0,55.0,4.0,13.0,2.0,3.0,3.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,55.0,1.0,4.0,3.0,2.0,4.0,31.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
54.0,55.0,3.0,17.0,3.0,1.0,4.0,21.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0
50.0,359.0,1.0,9.0,4.0,2.0,4.0,25.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
53.0,187.0,4.0,18.0,3.0,4.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,306.0,5.0,11.0,4.0,4.0,3.0,35.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
26.0,29.0,5.0,17.0,2.0,1.0,3.0,49.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,266.0,4.0,16.0,1.0,4.0,4.0,43.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,475.0,2.0,10.0,1.0,3.0,3.0,41.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0
23.0,107.0,2.0,2.0,1.0,4.0,2.0,37.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
58.0,331.0,5.0,16.0,1.0,4.0,1.0,57.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
56.0,422.0,5.0,0.0,2.0,4.0,4.0,42.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
21.0,89.0,4.0,14.0,1.0,2.0,1.0,47.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
30.0,204.0,2.0,8.0,3.0,2.0,2.0,92.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,55.0,5.0,14.0,3.0,1.0,3.0,61.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0
22.0,455.0,2.0,2.0,1.0,1.0,1.0,14.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
61.0,55.0,5.0,18.0,3.0,1.0,2.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
44.0,55.0,1.0,12.0,4.0,4.0,2.0,53.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0
49.0,444.0,3.0,11.0,2.0,2.0,1.0,84.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0
38.0,380.0,1.0,19.0,1.0,3.0,4.0,34.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0
25.0,437.0,5.0,0.0,1.0,4.0,1.0,76.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0
55.0,219.0,3.0,16.0,2.0,4.0,4.0,97.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0
25.0,377.0,3.0,12.0,3.0,4.0,3.0,24.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20.0,93.0,5.0,0.0,2.0,3.0,4.0,20.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0
61.0,456.0,5.0,9.0,2.0,1.0,3.0,69.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0
20.0,55.0,2.0,14.0,3.0,3.0,1.0,30.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
39.0,55.0,5.0,6.0,2.0,1.0,3.0,88.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0
23.0,185.0,4.0,17.0,3.0,3.0,2.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0
19.0,55.0,5.0,15.0,3.0,2.0,3.0,36.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0
40.0,183.0,4.0,13.0,2.0,4.0,4.0,38.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0
61.0,55.0,5.0,17.0,4.0,4.0,4.0,80.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
19.0,161.0,2.0,6.0,3.0,4.0,4.0,52.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0
55.0,246.0,4.0,16.0,2.0,1.0,3.0,15.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0
34.0,30.0,1.0,17.0,3.0,3.0,4.0,46.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0
52.0,51.0,4.0,11.0,4.0,2.0,4.0,23.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
51.0,344.0,2.0,7.0,4.0,3.0,2.0,12.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0
40.0,55.0,4.0,1.0,1.0,4.0,3.0,93.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
47.0,384.0,5.0,6.0,3.0,2.0,2.0,44.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
25.0,438.0,5.0,3.0,3.0,2.0,4.0,15.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
39.0,277.0,2.0,17.0,2.0,4.0,4.0,93.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0
61.0,39.0,3.0,5.0,3.0,3.0,4.0,49.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,100.0,5.0,8.0,1.0,4.0,3.0,21.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,55.0,1.0,8.0,4.0,3.0,1.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,384.0,2.0,13.0,4.0,2.0,4.0,14.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0
46.0,320.0,4.0,7.0,1.0,2.0,4.0,42.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0
48.0,248.0,4.0,18.0,3.0,4.0,4.0,80.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
64.0,190.0,1.0,2.0,3.0,2.0,4.0,15.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0
33.0,489.0,5.0,17.0,1.0,1.0,3.0,63.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0
59.0,181.0,2.0,4.0,2.0,2.0,1.0,68.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0
47.0,425.0,1.0,13.0,4.0,1.0,1.0,27.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0
33.0,404.0,10.0,3.0,1.0,2.0,1.0,87.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0
29.0,334.0,2.0,6.0,1.0,4.0,4.0,93.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,55.0,4.0,19.0,3.0,4.0,4.0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,21.0,2.0,11.0,4.0,1.0,1.0,52.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
29.0,165.0,3.0,1.0,3.0,4.0,1.0,63.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,98.0,10.0,10.0,1.0,2.0,4.0,73.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0
37.0,55.0,3.0,13.0,2.0,2.0,4.0,53.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0
20.0,207.0,2.0,15.0,4.0,4.0,2.0,57.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0
33.0,7.0,3.0,19.0,1.0,2.0,2.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47.0,189.0,4.0,5.0,1.0,3.0,2.0,43.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0
62.0,55.0,5.0,3.0,2.0,3.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0
40.0,272.0,3.0,14.0,1.0,2.0,3.0,42.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0
45.0,16.0,3.0,0.0,1.0,4.0,4.0,4.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0
57.0,89.0,10.0,6.0,4.0,1.0,2.0,69.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0
22.0,55.0,3.0,11.0,4.0,4.0,3.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
